name,source,product_url,image_url,white_bg,price,status
Skin Food Sugar Color Tint In Balm,skincarebd.com,https://skincarebd.com/product/skin-food-sugar-color-tint-in-balm/,https://skincarebd.com/wp-content/uploads/2021/07/Sugar-Color-Tint-In-Balm-1.jpg,yes,150.0,white_bg_ok
Innisfree - Kale Capsule Recipe Pack 10 ml,skincarebd.com,https://skincarebd.com/product/innisfree-kale-capsule-recipe-pack-10-ml/,https://skincarebd.com/wp-content/uploads/2020/03/combo.jpg,yes,250.0,white_bg_ok
Innisfree - Red Bean Capsule Recipe Pack 10 mL,skincarebd.com,https://skincarebd.com/product/innisfree-red-bean-capsule-recipe-pack-10-ml/,https://skincarebd.com/wp-content/uploads/2020/03/thumb-redbean_280x280.jpg,yes,250.0,white_bg_ok
NEOGEN DERMALOGY REAL CHARCOAL PAD 5.07OZ / 150ML (60 PADS),skincarebd.com,https://skincarebd.com/product/neogen-dermalogy-real-charcoal-pad-5-07oz-150ml-60-pads/,https://skincarebd.com/wp-content/uploads/2020/08/bo_tron-recovered_f5574af284c64148bf4c959674258f8a_grande.webp,yes,1700.0,white_bg_ok
SKIN FOOD Tea Tree PHA Daily Toner 160ml,skincarebd.com,https://skincarebd.com/product/skinfood-tea-tree-pha-daily-toner-160ml/,https://skincarebd.com/wp-content/uploads/2020/02/18-2-600x600-1.jpg,yes,150.0,white_bg_ok
coxir Intensive EGF Peptide Serum 50ML,skincarebd.com,https://skincarebd.com/product/coxir-intensive-egf-peptide-serum-50ml/,https://skincarebd.com/wp-content/uploads/2021/06/9b44e5eba5971e5570ebe745976fddfc.png,yes,1100.0,white_bg_ok
ISNTREE HYALURONIC ACID SPECIAL TRIAL KIT,skincarebd.com,https://skincarebd.com/product/isntree-hyaluronic-acid-special-trial-kit/,https://skincarebd.com/wp-content/uploads/2021/03/special-trial-kit.jpg,yes,1100.0,white_bg_ok
SKINFOOD - Summer Kit,skincarebd.com,https://skincarebd.com/product/skinfood-summer-kit/,https://skincarebd.com/wp-content/uploads/2021/03/K-0388.jpg,yes,900.0,white_bg_ok
BY WISHTREND Sulfur 3% Clean Gel - 30g,skincarebd.com,https://skincarebd.com/product/by-wishtrend-sulfur-3-clean-gel-3g/,https://skincarebd.com/wp-content/uploads/2020/08/By-Wishtrend-Sulfur-Clean-Gel.jpg,yes,350.0,white_bg_ok
RYO Damage Care Treatment 180ml,skincarebd.com,https://skincarebd.com/product/ryo-ryo-damage-care-treatment-180ml/,https://skincarebd.com/wp-content/uploads/2021/07/Ryo-Damage-Care-Treatment-001.jpg,yes,500.0,white_bg_ok
"Ryo Hair Loss Care Root Strength Treatment, 200ml",skincarebd.com,https://skincarebd.com/product/ryo-hair-loss-care-root-strength-treatment-200ml/,https://skincarebd.com/wp-content/uploads/2021/06/Ryo-Root-Strength-Treatment-Hair-Loss-Care.jpg,yes,1100.0,white_bg_ok
Missha Time Revolution The First Treatment Essence RX (4th Gen) 30ml,skincarebd.com,https://skincarebd.com/product/time-revolution-the-first-treatment-essence-rx-4th-gen-30ml/,https://skincarebd.com/wp-content/uploads/2021/01/missha_sample_500119-650x650-1.jpg,yes,800.0,white_bg_ok
Tonymoly Floria Brightening Peeling Gel 150ml,skincarebd.com,https://skincarebd.com/product/tonymoly-floria-brightening-peeling-gel-150ml/,https://skincarebd.com/wp-content/uploads/2020/07/Tony-Moly-Floria-Brightening-Peeling-Gel-150ml.jpg,yes,150.0,white_bg_ok
Skin Food Fresh Fruit Lip &amp;amp; Cheek Lunch Box 58g,skincarebd.com,https://skincarebd.com/product/skin-food-fresh-fruit-lip-cheek-lunch-box-58g/,https://skincarebd.com/wp-content/uploads/2021/07/SKINFOOD-Fresh-Fruit-Lip-and-Cheek-Lunch-Box.jpg,yes,1200.0,white_bg_ok
SKINFOOD Avocado Stick Lip Balm Rich 3.4g,skincarebd.com,https://skincarebd.com/product/skinfood-avocado-stick-lip-balm-rich-3-4g/,https://skincarebd.com/wp-content/uploads/2020/11/41LpGW2GmFL.jpg,yes,150.0,white_bg_ok
Dr.Ceuracle 5α Control No-sebum Sun Lotion SPF50+ PA++++ 50g,skincarebd.com,https://skincarebd.com/product/dr-ceuracle-5%ce%b1-control-no-sebum-sun-lotion-spf50-pa-50g/,https://skincarebd.com/wp-content/uploads/2021/12/sun-1.jpg,yes,1200.0,white_bg_ok
KLAIRS Daily Skin Softening Water - 500ml,skincarebd.com,https://skincarebd.com/product/klairs-daily-skin-softening-water-500ml/,https://skincarebd.com/wp-content/uploads/2020/03/klairs-tonico-daily-skin-softening-water-1-55315.jpeg,yes,500.0,white_bg_ok
NATURE REPUBLIC GOOD SKIN COLLAGEN AMPOULE - 30ML,both (skincarebd + emartway),https://skincarebd.com/product/nature-republic-good-skin-collagen-ampoule-30ml/,https://skincarebd.com/wp-content/uploads/2021/01/굿스킨9_.jpg,fetch_error,800.0,pending
SKINMISO SPOT REPAIRING SERUM 30ML,skincarebd.com,https://skincarebd.com/product/skinmiso-spot-repairing-serum-30ml/,https://skincarebd.com/wp-content/uploads/2020/01/skinmiso_500002-650x650_0.1.jpg,yes,1200.0,white_bg_ok
Cosrx Full fit Propolis Ultra Light Ampoule 30ml,skincarebd.com,https://skincarebd.com/product/cosrx-full-fit-propolis-ultra-light-ampoule-30ml/,https://skincarebd.com/wp-content/uploads/2021/01/image-2.jpg,yes,1700.0,white_bg_ok
SKINMISO Pore Corset Serum 30ml,skincarebd.com,https://skincarebd.com/product/skinmiso-pore-corset-serum-30ml/,https://skincarebd.com/wp-content/uploads/2020/01/41CIOcoAjvL._SL1000_.jpg,yes,1700.0,white_bg_ok
Cosrx Hydrium Triple Hyaluronic Moisture Ampoule 40ml,skincarebd.com,https://skincarebd.com/product/cosrx-hydrium-triple-hyaluronic-moisture-ampoule-40ml/,https://skincarebd.com/wp-content/uploads/2020/06/cosrx_054_light-766x1000-1.jpg,yes,1800.0,white_bg_ok
PURITO Snail Repair Advanced Serum 60ml,skincarebd.com,https://skincarebd.com/product/purito-snail-repair-advanced-serum-60ml/,https://skincarebd.com/wp-content/uploads/2020/06/purito-snail-repair-advanced-serum.jpg,yes,990.0,white_bg_ok
