product_id,status,title,slug,brand,current_sku,recovered_old_sku,recommended_sku,action,seo_note,flags
93030,publish,"Isntree Hyaluronic Acid Moist Cream 100ml",isntree-hyaluronic-acid-moist-cream-100ml,ISNTREE,,,EM-ISNT-ISNHYA-93030,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93032,publish,"I'M FROM Mugwort Essence - 30ml",im-from-mugwort-essence-30ml,"I am From",,,EM-IAMF-IMFROM-93032,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93034,publish,"MIXSOON Bean Cleansing Oil 195ml",mixsoon-bean-cleansing-oil-195ml,Mixsoon,,,EM-MIXS-MIXBEA-93034,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93036,publish,"Nivea Sun Protect Super Water Gel Sunscreen SPF50 PA+++ 125g (Refill pack)",nivea-sun-protect-super-water-gel-sunscreen-spf50-pa-125g-refill-pack,Nivea,,,EM-NIVE-NIVSUN-93036,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93038,publish,"IZEZE Black Cumin NSA Enrich Cream 50ml",izeze-black-cumin-nsa-enrich-cream-50ml,IZEZE,,,EM-IZEZ-IZEBLA-93038,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93040,publish,"IZEZE Exosome PDRN Firming Eye Cream 30ml",izeze-exosome-pdrn-firming-eye-cream-30ml,IZEZE,,,EM-IZEZ-IZEEXO-93040,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93042,publish,"ZEZE HYPER CICA Primer Tone Up Sun 50ml / SPF 50+ PA++++",zeze-hyper-cica-primer-tone-up-sun-50ml-spf-50-pa,Zeze,,,EM-ZEZE-ZEZHYP-93042,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93044,publish,"Beauty of Joseon Relief Sun Aqua-fresh : Rice + B5 Mini 10ml",beauty-of-joseon-relief-sun-aqua-fresh-rice-b5-10ml-mini,"Beauty of Joseon",,,EM-BEAU-BEAOFJ-93044,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93046,publish,"IZEZE Exosome PDRN Booster Ampoule 30ml",izeze-exosome-pdrn-booster-ampoule-30ml,IZEZE,,,EM-IZEZ-IZEEXO-93046,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93048,publish,"IZEZE Soul HNA Hydro Toner 150ml",izeze-soul-hna-hydro-toner-150ml,IZEZE,,,EM-IZEZ-IZESOU-93048,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
93107,publish,"CeraVe Hydrating Sunscreen SPF30 Medium Sheer Tint 50ml",cerave-hydrating-sunscreen-spf30-medium-sheer-tint-50ml,CeraVe,,,EM-CERA-CERHYD-93107,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93108,publish,"CeraVe Hydrating Sunscreen SPF 30 Light Sheer Tint 50ml",cerave-hydrating-sunscreen-spf-30-light-sheer-tint-50ml,CeraVe,,,EM-CERA-CERHYD-93108,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93109,publish,"CeraVe Acne Foaming Cream Wash 150ml (10% Benzoyl Peroxide)",cerave-acne-foaming-cream-wash-150ml-10-benzoyl-peroxide,CeraVe,,,EM-CERA-CERACN-93109,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93110,publish,"CeraVe Hydrating Cleanser 20ml",cerave-hydrating-cleanser-20ml,CeraVe,,,EM-CERA-CERHYD-93110,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93112,publish,"CeraVe Moisturising Lotion For Dry To Very Dry Skin 473ml (UK Version)",cerave-moisturising-lotion-for-dry-to-very-dry-skin-473ml-uk-version,CeraVe,,,EM-CERA-CERMOI-93112,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93113,publish,"CeraVe Baby Wash & Shampoo 237ml",cerave-baby-wash-shampoo-237ml,CeraVe,,,EM-CERA-CERBAB-93113,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93114,publish,"CeraVe Daily Moisturizing Lotion 473ml (Normal To Dry Skin)",cerave-daily-moisturizing-lotion-473ml-normal-to-dry-skin,CeraVe,,,EM-CERA-CERDAI-93114,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93115,publish,"CeraVe Baby Moisturizing Cream 142g",cerave-baby-moisturizing-cream-142g,CeraVe,,,EM-CERA-CERBAB-93115,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93116,publish,"CeraVe AM Facial Moisturizing Lotion with Sunscreen 60ml",cerave-am-facial-moisturizing-lotion-with-sunscreen-60ml,CeraVe,,,EM-CERA-CERAMF-93116,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93117,publish,"CeraVe Hydrating Cream To Foam Cleanser For Normal To Dry Skin 237ml",cerave-hydrating-cream-to-foam-cleanser-for-normal-to-dry-skin-237ml,CeraVe,,,EM-CERA-CERHYD-93117,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93118,publish,"CeraVe Eye Repair Cream (USA Version)",cerave-eye-repair-cream-usa-version,CeraVe,,,EM-CERA-CEREYE-93118,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93119,publish,"CeraVe SA Smoothing Cream 177ml",cerave-sa-smoothing-cream-177ml,CeraVe,,,EM-CERA-CERSAS-93119,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93120,publish,"CeraVe Hydrating Foaming Oil Cleanser 236ml",cerave-hydrating-foaming-oil-cleanser-236ml,CeraVe,,,EM-CERA-CERHYD-93120,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93121,publish,"CeraVe Resurfacing Retinol Serum 30ml (USA Version)",cerave-resurfacing-retinol-serum-30ml-usa-version,CeraVe,,,EM-CERA-CERRES-93121,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93122,publish,"CeraVe Daily Moisturizing Lotion 237ml (USA Version)",cerave-daily-moisturizing-lotion-237ml-usa-version,CeraVe,,,EM-CERA-CERDAI-93122,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93123,publish,"CeraVe Moisturizing Cream 340g UK Version (Dry To Very Dry Skin)",cerave-moisturizing-cream-340g-uk-version-dry-to-very-dry-skin,CeraVe,,,EM-CERA-CERMOI-93123,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93138,publish,"Beauty of Joseon Revive Eye Serum Ginseng Retinal 10ml",beauty-of-joseon-revive-eye-serum-ginseng-retinal-10ml,"Beauty of Joseon",,,EM-BEAU-BEAOFJ-93138,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93139,publish,"Beauty of Joseon Revive Eye Serum Ginseng Retinal 30ml",beauty-of-joseon-revive-eye-serum-ginseng-retinal-30ml,"Beauty of Joseon",,,EM-BEAU-BEAOFJ-93139,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
93143,publish,"Beauty of Joseon Rice + Probiotics Sunscreen 10ml",beauty-of-joseon-rice-probiotics-sunscreen-10ml,"Beauty of Joseon",,,EM-BEAU-BEAOFJ-93143,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",BRAND_INFERRED_FROM_TITLE
