reason,product_id,brand,product_title,size,sku,price,slug,url
missing_size,92896,"Some By Mi","Some By Mi AHA BHA PHA 30 Days Miracle AC SOS Kit",,,1900,some-by-mi-aha-bha-pha-30-days-miracle-ac-sos-kit,https://e-mart.com.bd/product/some-by-mi-aha-bha-pha-30-days-miracle-ac-sos-kit/
missing_size,92910,Anua,"ANUA RETINOL 0.3 + NIACIN RENEWING SERUM 30m",,,2500,anua-retinol-0-3-niacin-renewing-serum-30m,https://e-mart.com.bd/product/anua-retinol-0-3-niacin-renewing-serum-30m/
missing_size,92916,Romnd,"Rom&amp;nd THE JUICY LASTING TINT 17 DARK COCONUT",,,1100,romampnd-the-juicy-lasting-tint-17-dark-coconut,https://e-mart.com.bd/product/romampnd-the-juicy-lasting-tint-17-dark-coconut/
missing_size,92954,"Some By Mi","Some By Mi Yuja Niacin Anti Blemish Starter Kit",,,1700,some-by-mi-yuja-niacin-anti-blemish-starter-kit,https://e-mart.com.bd/product/some-by-mi-yuja-niacin-anti-blemish-starter-kit/
missing_size,93014,Tiam,"Tiam Pore Minimizing 21 Serum and Cream Combo",,,3700,tiam-pore-minimizing-21-serum-and-cream-combo,https://e-mart.com.bd/product/tiam-pore-minimizing-21-serum-and-cream-combo/
missing_size,93022,"Some By Mi","Some By Mi Retinol Intense Trial Kit",,,1300,some-by-mi-retinol-intense-trial-kit,https://e-mart.com.bd/product/some-by-mi-retinol-intense-trial-kit/
missing_brand,93107,,"CeraVe Hydrating Sunscreen SPF30 Medium Sheer Tint 50ml",50ml,,1450,cerave-hydrating-sunscreen-spf30-medium-sheer-tint-50ml,https://e-mart.com.bd/product/cerave-hydrating-sunscreen-spf30-medium-sheer-tint-50ml/
missing_brand,93108,,"CeraVe Hydrating Sunscreen SPF 30 Light Sheer Tint 50ml",50ml,,1450,cerave-hydrating-sunscreen-spf-30-light-sheer-tint-50ml,https://e-mart.com.bd/product/cerave-hydrating-sunscreen-spf-30-light-sheer-tint-50ml/
missing_brand,93109,,"CeraVe Acne Foaming Cream Wash 150ml (10% Benzoyl Peroxide)",150ml,,3150,cerave-acne-foaming-cream-wash-150ml-10-benzoyl-peroxide,https://e-mart.com.bd/product/cerave-acne-foaming-cream-wash-150ml-10-benzoyl-peroxide/
missing_brand,93110,,"CeraVe Hydrating Cleanser 20ml",20ml,,750,cerave-hydrating-cleanser-20ml,https://e-mart.com.bd/product/cerave-hydrating-cleanser-20ml/
missing_brand,93112,,"CeraVe Moisturising Lotion For Dry To Very Dry Skin 473ml (UK Version)",473ml,,3750,cerave-moisturising-lotion-for-dry-to-very-dry-skin-473ml-uk-version,https://e-mart.com.bd/product/cerave-moisturising-lotion-for-dry-to-very-dry-skin-473ml-uk-version/
missing_brand,93113,,"CeraVe Baby Wash & Shampoo 237ml",237ml,,2600,cerave-baby-wash-shampoo-237ml,https://e-mart.com.bd/product/cerave-baby-wash-shampoo-237ml/
missing_brand,93114,,"CeraVe Daily Moisturizing Lotion 473ml (Normal To Dry Skin)",473ml,,3700,cerave-daily-moisturizing-lotion-473ml-normal-to-dry-skin,https://e-mart.com.bd/product/cerave-daily-moisturizing-lotion-473ml-normal-to-dry-skin/
missing_brand,93115,,"CeraVe Baby Moisturizing Cream 142g",142g,,2390,cerave-baby-moisturizing-cream-142g,https://e-mart.com.bd/product/cerave-baby-moisturizing-cream-142g/
missing_brand,93116,,"CeraVe AM Facial Moisturizing Lotion with Sunscreen 60ml",60ml,,1750,cerave-am-facial-moisturizing-lotion-with-sunscreen-60ml,https://e-mart.com.bd/product/cerave-am-facial-moisturizing-lotion-with-sunscreen-60ml/
missing_brand,93117,,"CeraVe Hydrating Cream To Foam Cleanser For Normal To Dry Skin 237ml",237ml,,2500,cerave-hydrating-cream-to-foam-cleanser-for-normal-to-dry-skin-237ml,https://e-mart.com.bd/product/cerave-hydrating-cream-to-foam-cleanser-for-normal-to-dry-skin-237ml/
missing_brand,93118,,"CeraVe Eye Repair Cream (USA Version)",,,2150,cerave-eye-repair-cream-usa-version,https://e-mart.com.bd/product/cerave-eye-repair-cream-usa-version/
missing_brand,93119,,"CeraVe SA Smoothing Cream 177ml",177ml,,2350,cerave-sa-smoothing-cream-177ml,https://e-mart.com.bd/product/cerave-sa-smoothing-cream-177ml/
missing_brand,93120,,"CeraVe Hydrating Foaming Oil Cleanser 236ml",236ml,,2450,cerave-hydrating-foaming-oil-cleanser-236ml,https://e-mart.com.bd/product/cerave-hydrating-foaming-oil-cleanser-236ml/
missing_brand,93121,,"CeraVe Resurfacing Retinol Serum 30ml (USA Version)",30ml,,3000,cerave-resurfacing-retinol-serum-30ml-usa-version,https://e-mart.com.bd/product/cerave-resurfacing-retinol-serum-30ml-usa-version/
missing_brand,93122,,"CeraVe Daily Moisturizing Lotion 237ml (USA Version)",237ml,,3850,cerave-daily-moisturizing-lotion-237ml-usa-version,https://e-mart.com.bd/product/cerave-daily-moisturizing-lotion-237ml-usa-version/
missing_brand,93123,,"CeraVe Moisturizing Cream 340g UK Version (Dry To Very Dry Skin)",340g,,3290,cerave-moisturizing-cream-340g-uk-version-dry-to-very-dry-skin,https://e-mart.com.bd/product/cerave-moisturizing-cream-340g-uk-version-dry-to-very-dry-skin/
missing_brand,93138,,"Beauty of Joseon Revive Eye Serum Ginseng Retinal 10ml",10ml,,550,beauty-of-joseon-revive-eye-serum-ginseng-retinal-10ml,https://e-mart.com.bd/product/beauty-of-joseon-revive-eye-serum-ginseng-retinal-10ml/
missing_brand,93139,,"Beauty of Joseon Revive Eye Serum Ginseng Retinal 30ml",30ml,,2100,beauty-of-joseon-revive-eye-serum-ginseng-retinal-30ml,https://e-mart.com.bd/product/beauty-of-joseon-revive-eye-serum-ginseng-retinal-30ml/
missing_brand,93143,,"Beauty of Joseon Rice + Probiotics Sunscreen 10ml",10ml,,450,beauty-of-joseon-rice-probiotics-sunscreen-10ml,https://e-mart.com.bd/product/beauty-of-joseon-rice-probiotics-sunscreen-10ml/
